BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
195203,18,1830,195203,18,1830,,10063631,"MISSOURI",29,1952,"March","Tornado","C",31,"CAPE GIRARDEAU",,"18-MAR-52 18:30:00","CST","18-MAR-52 18:30:00","0","0","0","0","25K","0",,"0",,,,"F2","6.2","500",,,,,"0",,,"0",,,"37.37","-89.78","37.45","-89.73",,,"PUB"
195206,29,1100,195206,29,1100,,9991454,"FLORIDA",12,1952,"June","Tornado","C",103,"PINELLAS",,"29-JUN-52 11:00:00","CST","29-JUN-52 11:00:00","0","0","0","0","2.5K","0",,"0",,,,"F1","0","33",,,,,"0",,,"0",,,"27.75","-82.65",,,,,"PUB"
195201,17,1934,195201,17,1934,,10104937,"PENNSYLVANIA",42,1952,"January","Tornado","C",39,"CRAWFORD",,"17-JAN-52 19:34:00","CST","17-JAN-52 19:34:00","0","0","0","0","250K","0",,"0",,,,"F2",".5","400",,,,,"0",,,"0",,,"41.60","-80.30",,,,,"PUB"
195204,5,1215,195204,5,1215,,10104938,"PENNSYLVANIA",42,1952,"April","Tornado","C",133,"YORK",,"05-APR-52 12:15:00","CST","05-APR-52 12:15:00","4","0","0","0","2.5M","0",,"0",,,,"F3","17.5","33",,,,,"0",,,"0",,,"39.80","-76.98","39.95","-76.72",,,"PUB"
195204,5,1300,195204,5,1300,,10104939,"PENNSYLVANIA",42,1952,"April","Tornado","C",43,"DAUPHIN",,"05-APR-52 13:00:00","CST","05-APR-52 13:00:00","6","0","0","0","250K","0",,"0",,,,"F0","0","33",,,,,"0",,,"0",,,"40.23","-76.80",,,,,"PUB"
195204,5,1530,195204,5,1530,,10104940,"PENNSYLVANIA",42,1952,"April","Tornado","C",89,"MONROE",,"05-APR-52 15:30:00","CST","05-APR-52 15:30:00","0","0","0","0","2.5K","0",,"0",,,,"F1","1","33",,,,,"0",,,"0",,,"41.12","-75.28",,,,,"PUB"
195207,19,545,195207,19,545,,10104941,"PENNSYLVANIA",42,1952,"July","Tornado","C",49,"ERIE",,"19-JUL-52 05:45:00","CST","19-JUL-52 05:45:00","0","0","0","0","2.5K","0",,"0",,,,"F2","5.6","27",,,,,"0",,,"0",,,"41.93","-79.75","41.92","-79.63",,,"PUB"
195207,23,1230,195207,23,1230,,10104942,"PENNSYLVANIA",42,1952,"July","Tornado","C",87,"MIFFLIN",,"23-JUL-52 12:30:00","CST","23-JUL-52 12:30:00","4","0","0","0","25K","0",,"0",,,,"F2","0","33",,,,,"0",,,"0",,,"40.62","-77.57",,,,,"PUB"
195208,16,1815,195208,16,1815,,10104943,"PENNSYLVANIA",42,1952,"August","Tornado","C",43,"DAUPHIN",,"16-AUG-52 18:15:00","CST","16-AUG-52 18:15:00","0","0","0","0","2.5K","0",,"0",,,,"F1",".5","30",,,,,"0",,,"0",,,"40.62","-76.72",,,,,"PUB"
195204,5,1610,195204,5,1610,,10082588,"NEW JERSEY",34,1952,"April","Tornado","C",39,"UNION",,"05-APR-52 16:10:00","CST","05-APR-52 16:10:00","0","0","0","0","2.5K","0",,"0",,,,"F1",".2","33",,,,,"0",,,"0",,,"40.63","-74.32",,,,,"PUB"
195208,10,904,195208,10,904,,10082589,"NEW JERSEY",34,1952,"August","Tornado","C",5,"BURLINGTON",,"10-AUG-52 09:04:00","CST","10-AUG-52 09:04:00","0","0","0","0","25K","0",,"0",,,,"F1","2.3","100",,,,,"0",,,"0",,,"40.00","-74.60","40.03","-74.57",,,"PUB"
195208,10,930,195208,10,930,,10082590,"NEW JERSEY",34,1952,"August","Tornado","C",9,"CAPE MAY",,"10-AUG-52 09:30:00","CST","10-AUG-52 09:30:00","0","0","0","0","25K","0",,"0",,,,"F1","12.5","100",,,,,"0",,,"0",,,"40.03","-74.57","40.17","-74.40",,,"PUB"
195205,24,1505,195205,24,1505,,10083092,"OHIO",39,1952,"May","Tornado","C",35,"CUYAHOGA",,"24-MAY-52 15:05:00","CST","24-MAY-52 15:05:00","0","0","0","0","25K","0",,"0",,,,"F1","0","200",,,,,"0",,,"0",,,"41.42","-81.50",,,,,"PUB"
195207,13,1500,195207,13,1500,,10099559,"OKLAHOMA",40,1952,"July","Tornado","C",131,"ROGERS",,"13-JUL-52 15:00:00","CST","13-JUL-52 15:00:00","0","0","0","0","2.5K","0",,"0",,,,"F1","0","33",,,,,"0",,,"0",,,"36.32","-95.70",,,,,"PUB"
195207,16,1730,195207,16,1730,,10099560,"OKLAHOMA",40,1952,"July","Tornado","C",7,"BEAVER",,"16-JUL-52 17:30:00","CST","16-JUL-52 17:30:00","0","0","0","0","25K","0",,"0",,,,"F1","0","30",,,,,"0",,,"0",,,"36.87","-100.88",,,,,"PUB"
195208,15,1630,195208,15,1630,,10099561,"OKLAHOMA",40,1952,"August","Tornado","C",83,"LOGAN",,"15-AUG-52 16:30:00","CST","15-AUG-52 16:30:00","0","0","0","0","25K","0",,"0",,,,"F2","5.1","77",,,,,"0",,,"0",,,"35.80","-97.50","35.85","-97.43",,,"PUB"
195204,20,1600,195204,20,1600,,10099750,"OKLAHOMA",40,1952,"April","Tornado","C",65,"JACKSON",,"20-APR-52 16:00:00","CST","20-APR-52 16:00:00","0","0","0","0",".25K","0",,"0",,,,"F0","1.5","440",,,,,"0",,,"0",,,"34.67","-99.50",,,,,"PUB"
195204,20,1600,195204,20,1600,,10099751,"OKLAHOMA",40,1952,"April","Tornado","C",65,"JACKSON",,"20-APR-52 16:00:00","CST","20-APR-52 16:00:00","0","0","0","0","0K","0",,"0",,,,"F0","1.5","440",,,,,"0",,,"0",,,"34.67","-99.50",,,,,"PUB"
195204,20,1600,195204,20,1600,,10099752,"OKLAHOMA",40,1952,"April","Tornado","C",65,"JACKSON",,"20-APR-52 16:00:00","CST","20-APR-52 16:00:00","0","0","0","0","0K","0",,"0",,,,"F0","1.5","440",,,,,"0",,,"0",,,"34.67","-99.50",,,,,"PUB"
195204,20,1700,195204,20,1700,,10099753,"OKLAHOMA",40,1952,"April","Tornado","C",9,"BECKHAM",,"20-APR-52 17:00:00","CST","20-APR-52 17:00:00","0","0","0","0","0K","0",,"0",,,,"F1","0","20",,,,,"0",,,"0",,,"35.30","-99.67",,,,,"PUB"
195204,20,1830,195204,20,1830,,10099754,"OKLAHOMA",40,1952,"April","Tornado","C",129,"ROGER MILLS",,"20-APR-52 18:30:00","CST","20-APR-52 18:30:00","0","0","0","0","0K","0",,"0",,,,"F0","0","20",,,,,"0",,,"0",,,"35.97","-99.47",,,,,"PUB"
195204,20,1915,195204,20,1915,,10099755,"OKLAHOMA",40,1952,"April","Tornado","C",43,"DEWEY",,"20-APR-52 19:15:00","CST","20-APR-52 19:15:00","0","0","0","0","0K","0",,"0",,,,"F0","0","20",,,,,"0",,,"0",,,"36.15","-99.30",,,,,"PUB"
195204,21,1605,195204,21,1605,,10099756,"OKLAHOMA",40,1952,"April","Tornado","C",71,"KAY",,"21-APR-52 16:05:00","CST","21-APR-52 16:05:00","0","0","0","0","0K","0",,"0",,,,"F0",".3","50",,,,,"0",,,"0",,,"36.87","-97.33",,,,,"PUB"
195204,30,1545,195204,30,1545,,10099757,"OKLAHOMA",40,1952,"April","Tornado","C",151,"WOODS",,"30-APR-52 15:45:00","CST","30-APR-52 15:45:00","0","0","0","0","2.5K","0",,"0",,,,"F2","13.7","200",,,,,"0",,,"0",,,"36.77","-99.08","36.77","-98.83",,,"PUB"
195204,8,1645,195204,8,1645,,10099748,"OKLAHOMA",40,1952,"April","Tornado","C",9,"BECKHAM",,"08-APR-52 16:45:00","CST","08-APR-52 16:45:00","0","0","0","0",".25K","0",,"0",,,,"F0","45.9","100",,,,,"0",,,"0",,,"35.25","-99.70","35.85","-99.35",,,"PUB"
