BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
195403,24,2200,195403,24,2200,,10099832,"OKLAHOMA",40,1954,"March","Tornado","C",41,"DELAWARE",,"24-MAR-54 22:00:00","CST","24-MAR-54 22:00:00","0","0","0","0","25K","0",,"0",,,,"F1","23.9","33",,,,,"0",,,"0",,,"36.20","-94.97","36.50","-94.75",,,"PUB"
195404,27,1830,195404,27,1830,,10098430,"OKLAHOMA",40,1954,"April","Tornado","C",55,"GREER",,"27-APR-54 18:30:00","CST","27-APR-54 18:30:00","0","0","0","0","2.5K","0",,"0",,,,"F0","0","33",,,,,"0",,,"0",,,"35.03","-99.42",,,,,"PUB"
195405,1,1745,195405,1,1745,,10098659,"OKLAHOMA",40,1954,"May","Tornado","C",137,"STEPHENS",,"01-MAY-54 17:45:00","CST","01-MAY-54 17:45:00","0","0","0","0","25K","0",,"0",,,,"F3","6.2","100",,,,,"0",,,"0",,,"34.62","-98.00","34.68","-97.93",,,"PUB"
195408,30,1545,195408,30,1545,,10083324,"OHIO",39,1954,"August","Tornado","C",43,"ERIE",,"30-AUG-54 15:45:00","CST","30-AUG-54 15:45:00","0","0","0","0","25K","0",,"0",,,,"F1","0","33",,,,,"0",,,"0",,,"41.37","-82.38",,,,,"PUB"
195409,30,2000,195409,30,2000,,10083325,"OHIO",39,1954,"September","Tornado","C",19,"CARROLL",,"30-SEP-54 20:00:00","CST","30-SEP-54 20:00:00","3","0","1","0","25K","0",,"0",,,,"F2","0","50",,,,,"0",,,"0",,,"40.75","-81.15",,,,,"PUB"
195410,11,1730,195410,11,1730,,10083326,"OHIO",39,1954,"October","Tornado","C",49,"FRANKLIN",,"11-OCT-54 17:30:00","CST","11-OCT-54 17:30:00","0","0","0","0","2.5K","0",,"0",,,,"F1","0","67",,,,,"0",,,"0",,,"39.90","-83.13",,,,,"PUB"
195402,20,150,195402,20,150,,10047324,"MISSISSIPPI",28,1954,"February","Tornado","C",99,"NESHOBA",,"20-FEB-54 01:50:00","CST","20-FEB-54 01:50:00","5","0","0","0","250K","0",,"0",,,,"F2","3.6","100",,,,,"0",,,"0",,,"32.57","-89.02","32.62","-89.00",,,"PUB"
195404,28,1900,195404,28,1900,,10047325,"MISSISSIPPI",28,1954,"April","Tornado","C",3,"ALCORN",,"28-APR-54 19:00:00","CST","28-APR-54 19:00:00","0","0","0","0","2.5K","0",,"0",,,,,"0","33",,,,,"0",,,"0",,,"34.92","-88.58",,,,,"PUB"
195404,28,1900,195404,28,1900,,10047326,"MISSISSIPPI",28,1954,"April","Tornado","C",3,"ALCORN",,"28-APR-54 19:00:00","CST","28-APR-54 19:00:00","0","0","0","0","2.5K","0",,"0",,,,"F1","0","33",,,,,"0",,,"0",,,"34.92","-88.58",,,,,"PUB"
195404,28,1930,195404,28,1930,,10047327,"MISSISSIPPI",28,1954,"April","Tornado","C",57,"ITAWAMBA",,"28-APR-54 19:30:00","CST","28-APR-54 19:30:00","2","0","0","0","25K","0",,"0",,,,"F2","3.3","10",,,,,"0",,,"0",,,"34.37","-88.33","34.40","-88.30",,,"PUB"
195404,30,2200,195404,30,2200,,10047328,"MISSISSIPPI",28,1954,"April","Tornado","C",123,"SCOTT",,"30-APR-54 22:00:00","CST","30-APR-54 22:00:00","0","0","0","0","0K","0",,"0",,,,,"6.8","33",,,,,"0",,,"0",,,"32.27","-89.58","32.33","-89.50",,,"PUB"
195405,27,1430,195405,27,1430,,10047329,"MISSISSIPPI",28,1954,"May","Tornado","C",89,"MADISON",,"27-MAY-54 14:30:00","CST","27-MAY-54 14:30:00","0","0","0","0",".25K","0",,"0",,,,,"0","33",,,,,"0",,,"0",,,"32.43","-90.13",,,,,"PUB"
195406,3,600,195406,3,600,,10047330,"MISSISSIPPI",28,1954,"June","Tornado","C",101,"NEWTON",,"03-JUN-54 06:00:00","CST","03-JUN-54 06:00:00","3","0","0","0","25K","0",,"0",,,,"F2","7.6","300",,,,,"0",,,"0",,,"32.48","-89.17","32.57","-89.08",,,"PUB"
195407,9,900,195407,9,900,,10047331,"MISSISSIPPI",28,1954,"July","Tornado","C",101,"NEWTON",,"09-JUL-54 09:00:00","CST","09-JUL-54 09:00:00","0","0","0","0","25K","0",,"0",,,,"F0","0","33",,,,,"0",,,"0",,,"32.33","-89.17",,,,,"PUB"
195402,20,35,195402,20,35,,10047321,"MISSISSIPPI",28,1954,"February","Tornado","C",73,"LAMAR",,"20-FEB-54 00:35:00","CST","20-FEB-54 00:35:00","10","0","0","0","250K","0",,"0",,,,"F2","13.1","200",,,,,"0",,,"0",,,"31.28","-89.65","31.43","-89.52",,,"PUB"
195402,20,100,195402,20,100,,10047322,"MISSISSIPPI",28,1954,"February","Tornado","C",31,"COVINGTON",,"20-FEB-54 01:00:00","CST","20-FEB-54 01:00:00","0","0","0","0","250K","0",,"0",,,,"F2","24","200",,,,,"0",,,"0",,,"31.43","-89.52","31.68","-89.23",,,"PUB"
