BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
197107,13,1554,197107,13,1554,,9985468,"COLORADO",8,1971,"July","Hail","C",41,"EL PASO",,"13-JUL-71 15:54:00","CST","13-JUL-71 15:54:00","0","0","0","0","0","0",,"1.50",,,,,"0","0",,,,,"0",,,"0",,,"38.88","-104.80",,,,,"PUB"
197112,14,2340,197112,14,2340,,9983301,"ARKANSAS",5,1971,"December","Tornado","C",5,"BAXTER",,"14-DEC-71 23:40:00","CST","14-DEC-71 23:40:00","2","0","0","0","250K","0",,"0",,,,"F3","19.1","880",,,,,"0",,,"0",,,"36.30","-92.55","36.37","-92.22",,,"PUB"
197106,20,1923,197106,20,1923,,9985456,"COLORADO",8,1971,"June","Hail","C",87,"MORGAN",,"20-JUN-71 19:23:00","CST","20-JUN-71 19:23:00","0","0","0","0","0","0",,"1.75",,,,,"0","0",,,,,"0",,,"0",,,"40.28","-103.50",,,,,"PUB"
197108,11,1214,197108,11,1214,,9987325,"CONNECTICUT",9,1971,"August","Thunderstorm Wind","C",3,"HARTFORD",,"11-AUG-71 12:14:00","CST","11-AUG-71 12:14:00","0","0","0","0","0","0",,"50",,,,,"0","0",,,,,"0",,,"0",,,"41.88","-72.58",,,,,"PUB"
197106,4,1723,197106,4,1723,,10049760,"MISSISSIPPI",28,1971,"June","Tornado","C",91,"MARION",,"04-JUN-71 17:23:00","CST","04-JUN-71 17:23:00","0","0","0","0","250K","0",,"0",,,,"F2",".5","33",,,,,"0",,,"0",,,"31.23","-89.87",,,,,"PUB"
197105,30,1530,197105,30,1530,,10065953,"NEBRASKA",31,1971,"May","Tornado","C",47,"DAWSON",,"30-MAY-71 15:30:00","CST","30-MAY-71 15:30:00","0","0","0","0","25K","0",,"0",,,,"F0","0","33",,,,,"0",,,"0",,,"40.73","-99.78",,,,,"PUB"
197106,7,1720,197106,7,1720,,10039034,"MARYLAND",24,1971,"June","Thunderstorm Wind","C",19,"DORCHESTER",,"07-JUN-71 17:20:00","CST","07-JUN-71 17:20:00","0","0","0","0","0","0",,"0",,,,,"0","0",,,,,"0",,,"0",,,"38.50","-75.78",,,,,"PUB"
197106,2,1105,197106,2,1105,,10055862,"MISSOURI",29,1971,"June","Tornado","C",97,"JASPER",,"02-JUN-71 11:05:00","CST","02-JUN-71 11:05:00","1","0","0","0",".25K","0",,"0",,,,"F0",".5","17",,,,,"0",,,"0",,,"37.33","-94.42",,,,,"PUB"
197112,10,1122,197112,10,1122,,10033792,"KENTUCKY",21,1971,"December","Thunderstorm Wind","C",227,"WARREN",,"10-DEC-71 11:22:00","CST","10-DEC-71 11:22:00","0","0","0","0","0","0",,"55",,,,,"0","0",,,,,"0",,,"0",,,"37.00","-86.40",,,,,"PUB"
197104,29,1030,197104,29,1030,,10048681,"MISSISSIPPI",28,1971,"April","Thunderstorm Wind","C",23,"CLARKE",,"29-APR-71 10:30:00","CST","29-APR-71 10:30:00","0","0","0","0","0","0",,"0",,,,,"0","0",,,,,"0",,,"0",,,"31.90","-88.58",,,,,"PUB"
197108,10,1020,197108,10,1020,,10040487,"MICHIGAN",26,1971,"August","Thunderstorm Wind","C",81,"KENT",,"10-AUG-71 10:20:00","CST","10-AUG-71 10:20:00","0","0","0","0","0","0",,"0",,,,,"0","0",,,,,"0",,,"0",,,"43.00","-85.50",,,,,"PUB"
197106,8,1515,197106,8,1515,,10040176,"MASSACHUSETTS",25,1971,"June","Thunderstorm Wind","C",9,"ESSEX",,"08-JUN-71 15:15:00","CST","08-JUN-71 15:15:00","0","0","0","0","0","0",,"70",,,,,"0","0",,,,,"0",,,"0",,,"42.58","-70.78",,,,,"PUB"
197106,18,1945,197106,18,1945,,10113497,"SOUTH DAKOTA",46,1971,"June","Hail","C",31,"CORSON",,"18-JUN-71 19:45:00","CST","18-JUN-71 19:45:00","0","0","0","0","0","0",,"2.75",,,,,"0","0",,,,,"0",,,"0",,,"45.88","-101.50",,,,,"PUB"
197109,16,1445,197109,16,1445,,10115423,"PENNSYLVANIA",42,1971,"September","Tornado","C",1,"ADAMS",,"16-SEP-71 14:45:00","CST","16-SEP-71 14:45:00","0","0","0","0","25K","0",,"0",,,,"F1",".1","33",,,,,"0",,,"0",,,"39.75","-77.43",,,,,"PUB"
197106,7,2118,197106,7,2118,,10095702,"OKLAHOMA",40,1971,"June","Thunderstorm Wind","C",109,"OKLAHOMA",,"07-JUN-71 21:18:00","CST","07-JUN-71 21:18:00","0","0","0","0","0","0",,"56",,,,,"0","0",,,,,"0",,,"0",,,"35.38","-97.40",,,,,"PUB"
197106,30,1800,197106,30,1800,,10081762,"NEW MEXICO",35,1971,"June","Thunderstorm Wind","C",59,"UNION",,"30-JUN-71 18:00:00","CST","30-JUN-71 18:00:00","0","0","0","0","0","0",,"52",,,,,"0","0",,,,,"0",,,"0",,,"36.50","-103.18",,,,,"PUB"
