BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
198807,25,1358,198807,25,1358,,10069752,"MISSOURI",29,1988,"July","Hail","C",71,"FRANKLIN","STL","25-JUL-88 13:58:00","CST","25-JUL-88 13:58:00","0","0","0","0","0","0",,"2.50",,,,,"0","0",,,,,"0",,,"0",,,"38.45","-91.00",,,,,"PUB"
198810,16,1635,198810,16,1635,,10051809,"MICHIGAN",26,1988,"October","Hail","C",139,"OTTAWA","ARB","16-OCT-88 16:35:00","CST","16-OCT-88 16:35:00","0","0","0","0","0","0",,"1.00",,,,,"0","0",,,,,"0",,,"0",,,"42.87","-85.88",,,,,"PUB"
198808,15,1845,198808,15,1845,,9985990,"DELAWARE",10,1988,"August","Thunderstorm Wind","C",5,"SUSSEX","WBC","15-AUG-88 18:45:00","CST","15-AUG-88 18:45:00","0","0","0","0","0","0",,"0",,,,,"0","0",,,,,"0",,,"0",,,"38.80","-75.58",,,,,"PUB"
198805,16,1408,198805,16,1408,,10076774,"NEW YORK",36,1988,"May","Hail","C",99,"SENECA","BUF","16-MAY-88 14:08:00","CST","16-MAY-88 14:08:00","0","0","0","0","0","0",,".75",,,,,"0","0",,,,,"0",,,"0",,,"42.57","-76.68",,,,,"PUB"
198801,19,1620,198801,19,1620,,10044360,"LOUISIANA",22,1988,"January","Thunderstorm Wind","C",103,"ST. TAMMANY","NEW","19-JAN-88 16:20:00","CST","19-JAN-88 16:20:00","0","0","0","0","0","0",,"0",,,,,"0","0",,,,,"0",,,"0",,,"30.37","-90.08",,,,,"PUB"
198808,17,2328,198808,17,2328,,10055178,"MICHIGAN",26,1988,"August","Thunderstorm Wind","C",67,"IONIA","ARB","17-AUG-88 23:28:00","CST","17-AUG-88 23:28:00","0","0","0","0","0","0",,"0",,,,,"0","0",,,,,"0",,,"0",,,"43.10","-85.23",,,,,"PUB"
198811,15,2105,198811,15,2105,,10071977,"MISSOURI",29,1988,"November","Thunderstorm Wind","C",99,"JEFFERSON","STL","15-NOV-88 21:05:00","CST","15-NOV-88 21:05:00","0","0","0","0","0","0",,"52",,,,,"0","0",,,,,"0",,,"0",,,"38.15","-90.57",,,,,"PUB"
198806,26,1300,198806,26,1300,,9976919,"ALABAMA",1,1988,"June","Thunderstorm Wind","C",101,"MONTGOMERY","BHM","26-JUN-88 13:00:00","CST","26-JUN-88 13:00:00","0","0","0","0","0","0",,"0",,,,,"0","0",,,,,"0",,,"0",,,"32.38","-86.30",,,,,"PUB"
198804,5,1845,198804,5,1845,,10073086,"MISSOURI",29,1988,"April","Thunderstorm Wind","C",99,"JEFFERSON","STL","05-APR-88 18:45:00","CST","05-APR-88 18:45:00","0","0","0","0","0","0",,"61",,,,,"0","0",,,,,"0",,,"0",,,"38.27","-90.53",,,,,"PUB"
198803,24,1830,198803,24,1830,,10073052,"MISSOURI",29,1988,"March","Thunderstorm Wind","C",77,"GREENE","STL","24-MAR-88 18:30:00","CST","24-MAR-88 18:30:00","0","0","0","0","0","0",,"0",,,,,"0","0",,,,,"0",,,"0",,,"37.20","-93.30",,,,,"PUB"
